
WARNING:tensorflow:From C:\Users\giova\anaconda3\envs\DLA\lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.
C:\Users\giova\__PRODUCTIVITY\ArtificialIntelligence\__UNI\PW_AutonomousAgents\agent.py:90: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\cb\pytorch_1000000000000\work\torch\csrc\utils\tensor_new.cpp:264.)
  states = torch.tensor(normalized_states, dtype=torch.float32, device=self.device)
wandb: WARNING (User provided step: 74 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.461250305175781, 'State/2 - EV': 1.549881935119629, 'State/2 - ACC': 2.547738790512085, '_timestamp': 1728851398.667082}).
wandb: WARNING (User provided step: 75 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.234077453613281, 'State/2 - EV': 1.2951080799102783, 'State/2 - ACC': 0.4834170937538147, '_timestamp': 1728851398.667082}).
wandb: WARNING (User provided step: 76 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.291075706481934, 'State/2 - EV': 1.2467663288116455, 'State/2 - ACC': 1.9206030368804932, '_timestamp': 1728851398.672592}).
wandb: WARNING (User provided step: 77 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.12766170501709, 'State/2 - EV': 1.0547059774398804, 'State/2 - ACC': 2.103517532348633, '_timestamp': 1728851398.672592}).
wandb: WARNING (User provided step: 78 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.917604446411133, 'State/2 - EV': 0.8443542122840881, 'State/2 - ACC': -1.5025125741958618, '_timestamp': 1728851398.672592}).
wandb: WARNING (User provided step: 79 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.2274169921875, 'State/2 - EV': 0.9946054816246033, 'State/2 - ACC': 0.37889447808265686, '_timestamp': 1728851398.6735919}).
wandb: WARNING (User provided step: 80 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.27004337310791, 'State/2 - EV': 0.9567160606384277, 'State/2 - ACC': 0.37889447808265686, '_timestamp': 1728851398.6765919}).
wandb: WARNING (User provided step: 81 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.308880805969238, 'State/2 - EV': 0.9188266396522522, 'State/2 - ACC': 0.4834170937538147, '_timestamp': 1728851398.6781569}).
wandb: WARNING (User provided step: 82 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.328250885009766, 'State/2 - EV': 0.8704849481582642, 'State/2 - ACC': 0.4311557710170746, '_timestamp': 1728851398.6781569}).
wandb: WARNING (User provided step: 83 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.350625991821289, 'State/2 - EV': 0.8273693919181824, 'State/2 - ACC': -1.032160758972168, '_timestamp': 1728851398.6781569}).
wandb: WARNING (User provided step: 84 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.588187217712402, 'State/2 - EV': 0.9305854439735413, 'State/2 - ACC': -0.3005025088787079, '_timestamp': 1728851398.6831925}).
wandb: WARNING (User provided step: 85 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.72632122039795, 'State/2 - EV': 0.9606357216835022, 'State/2 - ACC': -2.0773868560791016, '_timestamp': 1728851398.684164}).
wandb: WARNING (User provided step: 86 is less than current step: 99. Dropping entry: {'State/2 - EP': 16.13399314880371, 'State/2 - EV': 1.1683744192123413, 'State/2 - ACC': -0.4311557710170746, '_timestamp': 1728851398.684164}).
wandb: WARNING (User provided step: 87 is less than current step: 99. Dropping entry: {'State/2 - EP': 16.31550407409668, 'State/2 - EV': 1.2114900350570679, 'State/2 - ACC': 0.274371862411499, '_timestamp': 1728851398.684164}).
wandb: WARNING (User provided step: 88 is less than current step: 99. Dropping entry: {'State/2 - EP': 16.395496368408203, 'State/2 - EV': 1.18405282497406, 'State/2 - ACC': 0.4834170937538147, '_timestamp': 1728851398.6893234}).
wandb: WARNING (User provided step: 89 is less than current step: 99. Dropping entry: {'State/2 - EP': 16.441389083862305, 'State/2 - EV': 1.1357110738754272, 'State/2 - ACC': -1.3718593120574951, '_timestamp': 1728851398.6893234}).
wandb: WARNING (User provided step: 90 is less than current step: 99. Dropping entry: {'State/2 - EP': 16.760738372802734, 'State/2 - EV': 1.2728970050811768, 'State/2 - ACC': -1.894472360610962, '_timestamp': 1728851398.6903248}).
